root,pos,common
-a,suf,True
aboni,VT,False
-aĉ,suf,True
aĉeti,VT,True
-ad,suf,True
adreso,N,True
aero,N,True
afabla,A,False
afero,N,True
agi,VT,True
agrabla,A,False
aĝo,N,True
ajn,misc,False
-aĵ,suf,True
akcepti,VT,True
akra,A,False
aktiva,A,False
akvo,N,True
al,misc,True
alia,A,True
almenaŭ,misc,False
alta,A,True
ami,VT,True
amaso,N,False
ambaŭ,misc,False
amiko,N,True
amuzi,VT,False
-an,suf,True
angulo,N,False
animo,N,False
ankaŭ,misc,True
ankoraŭ,misc,True
anonci,VT,False
anstataŭ,misc,True
-ant,suf,True
antaŭ,misc,True
aparato,N,False
aparta,A,True
aparteni,VI,False
apenaŭ,misc,False
aperi,VI,False
aprilo,N,True
apud,misc,True
-ar,suf,True
aranĝi,VT,False
arbo,N,False
arto,N,True
artikolo,N,True
-as,suf,True
asocio,N,True
 aspekti,VI,False
-at,suf,True
ataki,VT,False
atendi,VT,False
atenta,A,True
atingi,VT,False
aŭgusto,N,True
avo,N,False
aŭ,misc,False
aŭdi,VT,False
aŭskulti,VT,False
"aŭt(omobil)o


























              ",misc,False
aŭtobuso,N,False
aŭtuno,N,False
azeno,N,False
baldaŭ,misc,True
bani,VT,False
bari,VT,False
bati,VT,False
batali,VI,False
bazo,N,False
bedaŭri,VT,False
bela,A,True
besto,N,True
bezoni,VT,True
biblioteko,N,False
bicikli,VT,False
biero,N,False
bildo,N,True
bileto,N,False
birdo,N,True
blanka,A,False
blovi,VTI,False
blua,A,False
bo-,pre,True
boli,VI,False
bona,A,True
bordo,N,False
botelo,N,False
bovo,N,False
brako,N,False
brili,VI,True
broso,N,False
brui,VI,False
bruli,VI,False
bruna,A,False
brusto,N,False
buŝo,N,False
butero,N,False
butono,N,False
celo,N,True
cent,misc,True
centro,N,False
cerbo,N,False
certa,A,True
cetera,A,False
cigaredo,N,False
cirklo,N,False
ĉambro,N,True
ĉapelo,N,False
ĉar,misc,True
ĉe,misc,True
ĉefa,A,True
ĉemizo,N,False
ĉesi,VI,False
ĉevalo,N,False
ĉi,VT,True
ĉia,A,False
ĉiam,misc,True
ĉie,misc,True
ĉielo,N,True
ĉio,N,True
ĉirkaŭ,misc,True
ĉiu,misc,True
ĉu,misc,True
da,A,True
danci,VI,False
danĝero,N,False
danki,VT,True
daŭri,VI,True
de,misc,True
decembro,N,True
decidi,VT,True
defendi,VT,False
dek,misc,True
dekstra,A,True
demandi,VT,True
densa,A,False
dento,N,False
desegni,VT,True
detalo,N,False
devi,VT,True
deziri,VT,True
dio,N,False
diferenci,VI,False
difini,VT,False
dika,A,True
dimanĉo,N,True
diri,VT,True
direkto,N,True
dis-,pre,True
disko,N,False
diskuti,VI,False
diversa,A,True
dividi,VT,False
do,N,True
doktoro,N,True
dolĉa,A,True
dolori,VT,False
domo,N,True
domaĝo,N,False
doni,VT,False
donaci,VT,False
dormi,VI,True
dorso,N,False
drato,N,False
du,misc,True
dubi,VT,False
dum,misc,True
dungi,VT,False
-e,suf,True
ebena,A,False
-ebl,suf,True
-ec,suf,True
eĉ,misc,True
eduki,VT,True
edzo,N,True
efektiva,A,False
efiki,VI,False
-eg,suf,True
egala,A,False
-ej,suf,True
ek-,pre,True
ekonomio,N,False
ekskurso,N,False
ekspozicio,N,False
ekster,misc,True
ekzameni,VT,False
ekzemplo,N,True
ekzerci,VT,False
ekzisti,VI,True
el,misc,True
elekti,VT,True
elektro,N,False
-em,suf,True
emocio,N,False
en,misc,True
energio,N,False
-er,suf,True
erari,VI,False
esperi,VT,True
esplori,VT,False
esprimi,VT,False
esti,VI,False
estimi,VT,False
-estr,suf,True
-et,suf,True
eventuala,A,False
evolui,VI,False
facila,A,True
fadeno,N,False
fajro,N,False
fako,N,True
fakto,N,True
fakturo,N,False
fali,VI,True
fama,A,False
familio,N,True
fari,VT,True
farti,VI,False
februaro,N,True
feliĉa,A,True
fenestro,N,True
fero,N,False
ferio,N,False
fermi,VT,True
festi,VT,True
fiksi,VT,False
filo,N,True
filmo,N,True
fini,VT,True
fingro,N,False
fiŝo,N,True
flago,N,False
flanko,N,True
flava,A,False
floro,N,True
flui,VI,False
flugi,VT,True
fojo,N,True
folio,N,False
fondi,VT,False
fonto,N,False
for,misc,True
forgesi,VT,True
forko,N,False
formo,N,True
forta,A,True
fosi,VT,False
foti,VT,True
frapi,VT,True
frato,N,True
fraŭlo,N,False
